Period,Total_Sales
2000-01-01,1517
2000-04-01,1248
2000-07-01,1677
2000-10-01,1393
2001-01-01,1558
2001-04-01,1368
2001-07-01,1790
2001-10-01,1396
2002-01-01,1638
2002-04-01,1507
2002-07-01,1868
2002-10-01,1510
2003-01-01,1669
2003-04-01,1392
2003-07-01,1853
2003-10-01,1353
2004-01-01,1623
2004-04-01,1401
2004-07-01,1758
2004-10-01,1078
2005-01-01,1674
2005-04-01,1516
2005-07-01,1924
2005-10-01,1522
2006-01-01,2459
2006-04-01,2428
2006-07-01,2949
2006-10-01,2248
2007-01-01,2538
2007-04-01,2400
2007-07-01,2941
2007-10-01,2420
2008-01-01,2621
2008-04-01,2521
2008-07-01,3083
2008-10-01,2574
2009-01-01,2577
2009-04-01,2457
2009-07-01,2888
2009-10-01,2458
2010-01-01,2674
2010-04-01,2917
2010-07-01,3468
2010-10-01,2931
2011-01-01,3273
2011-04-01,3064
2011-07-01,3744
2011-10-01,3241
2012-01-01,3824
2012-04-01,3517
2012-07-01,4173
2012-10-01,3369
2013-01-01,3751
2013-04-01,3383
2013-07-01,3879
2013-10-01,3391
2014-01-01,3480
2014-04-01,3400
2014-07-01,4044
2014-10-01,3610
2015-01-01,4083
2015-04-01,3907
2015-07-01,4758
2015-10-01,4167
2016-01-01,4769
2016-04-01,4199
2016-07-01,5413
2016-10-01,4687
2017-01-01,5671
2017-04-01,5038
2017-07-01,5677
2017-10-01,5056
2018-01-01,5548
2018-04-01,5261
2018-07-01,5873
2018-10-01,5234
2019-01-01,5883
2019-04-01,5509
2019-07-01,6410
2019-10-01,5838
2020-01-01,4381
2020-04-01,3352
2020-07-01,5561
2020-10-01,5142
2021-01-01,5268
2021-04-01,5077
2021-07-01,5752
2021-10-01,5137
